鉄道会社,路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
東京地下鉄,東西線,八木山動物公園,荒井,13.9,0,13.9,post_add,未乗,
東京都交通局,浅草線,西馬込,押上,18.3,0,18.3,post_add,未乗,
東京都交通局,三田線,目黒,西高島平,26.5,0,26.5,post_add,未乗,
西武鉄道,新宿線,新宿,本八幡,23.5,0,23.5,post_add,未乗,
東京都交通局,大江戸線,都庁前,光が丘,40.7,0,40.7,post_add,未乗,
東京都交通局,荒川線,三ノ輪橋,早稲田,12.2,0,12.2,post_add,未乗,
東京都交通局,日暮里・舎人ライナー,日暮里,見沼代親水公園,9.7,0,9.7,post_add,未乗,
横浜市交通局,1号線,関内,湘南台,19.7,0,19.7,post_add,未乗,
横浜市交通局,3号線,関内,あざみ野,20.7,0,20.7,post_add,未乗,
横浜市交通局,4号線,中山,日吉,13,0,13,post_add,未乗,
名古屋市交通局,東山線,高畑,藤が丘,20.6,0,20.6,post_add,未乗,
名古屋市交通局,名城線・名港線,大曽根,名古屋港,14.9,0,14.9,post_add,未乗,
名古屋市交通局,名城線,大曽根,金山,17.5,0,17.5,post_add,未乗,
名古屋市交通局,鶴舞線,上小田井,赤池,20.4,0,20.4,post_add,未乗,
名古屋市交通局,桜通線,太閤通（旧中村区役所）,徳重,19.1,0,19.1,post_add,未乗,
名古屋市交通局,上飯田線,平安通,上飯田,0.8,0.8,0,,平安通→上飯田,0.8
京都市交通局,烏丸線,国際会館,竹田,13.7,0,13.7,post_add,未乗,
東京地下鉄,東西線,六地蔵,太秦天神川,17.5,0,17.5,post_add,未乗,
神戸市交通局,西神延伸線,名谷,西神中央,9.4,0,9.4,post_add,未乗,
神戸市交通局,西神線,名谷,新長田,5.7,0,5.7,post_add,未乗,
神戸市交通局,山手線,新神戸,新長田,7.6,0,7.6,post_add,未乗,
神戸市交通局,海岸線,三宮・花時計前,新長田,7.9,0,7.9,post_add,未乗,
神戸市交通局,北神線,新神戸,谷上,7.5,0,7.5,post_add,未乗,
京浜急行電鉄,空港線,姪浜,福岡空港,13.1,0,13.1,post_add,未乗,
福岡市交通局,箱崎線,中洲川端,貝塚,4.7,0,4.7,post_add,未乗,
福岡市交通局,七隈線,橋本,博多,13.6,0,13.6,post_add,未乗,
熊本市交通局,幹線,熊本駅前,水道町,3.3,0,3.3,post_add,未乗,
熊本市交通局,水前寺線,水道町,水前寺公園,2.4,0,2.4,post_add,未乗,
熊本市交通局,健軍線,水前寺公園,健軍町,3,0,3,post_add,未乗,
熊本市交通局,上熊本線,辛島町,上熊本,2.9,0,2.9,post_add,未乗,
熊本市交通局,田崎線,熊本駅前,田崎橋,0.5,0,0.5,post_add,未乗,
鹿児島市交通局,第一期線,武之橋,鹿児島駅前,3,0,3,post_add,未乗,
鹿児島市交通局,第二期線,高見馬場,鹿児島中央駅前,0.9,0,0.9,post_add,未乗,
鹿児島市交通局,谷山線,武之橋,谷山,6.4,0,6.4,post_add,未乗,
鹿児島市交通局,唐湊線,鹿児島中央駅前,郡元,2.8,0,2.8,post_add,未乗,
札幌市交通事業振興公社,1条線・山鼻線・山鼻西線・都心線,西4丁目,西4丁目,8.9,0,8.9,post_add,未乗,
道南いさりび鉄道,道南いさりび鉄道線,五稜郭,木古内,37.8,37.8,0,,五稜郭←木古内,37.8
津軽鉄道,津軽鉄道線,津軽五所川原,津軽中里,20.7,12.8,7.9,post_add,津軽五所川原→金木,12.8
弘南鉄道,弘南線,弘前,黒石,16.8,0,16.8,post_add,未乗,
弘南鉄道,大鰐線,大鰐,中央弘前,13.9,13.9,0,,大鰐←中央弘前,13.9
青い森鉄道,青い森鉄道線,目時,青森,121.9,96,25.9,post_add,八戸←青森,96
IGRいわて銀河鉄道,いわて銀河鉄道線,盛岡,目時,82,21.3,60.7,post_add,盛岡→好摩,21.3
三陸鉄道,リアス線,盛,久慈,163,163,0,,盛←釜石,36.6
三陸鉄道,リアス線,,,,0,0,,釜石←宮古,55.4
三陸鉄道,リアス線,,,,0,0,,宮古←久慈,71
仙台空港鉄道,仙台空港線,名取,仙台空港,7.1,7.1,0,,名取→仙台空港,7.1
由利高原鉄道,鳥海山ろく線,羽後本荘,矢島,23,0,23,post_add,未乗,
秋田内陸縦貫鉄道,秋田内陸線,鷹巣,角館,94.2,0,94.2,post_add,未乗,
山形鉄道,フラワー長井線,赤湯,荒砥,30.5,0,30.5,post_add,未乗,
阿武隈急行,阿武隈急行線,福島,槻木,54.9,0,54.9,post_add,未乗,
福島交通,飯坂線,福島,飯坂温泉,9.2,0,9.2,post_add,未乗,
会津鉄道,会津線,西若松,会津高原尾瀬口,57.4,0,57.4,post_add,未乗,
北越急行,ほくほく線,六日町,犀潟,59.5,0,59.5,post_add,未乗,
えちごトキめき鉄道,日本海ひすいライン,市振,直江津,59.3,59.3,0,,市振←直江津,59.3
えちごトキめき鉄道,妙高はねうまライン,妙高高原,直江津,37.7,37.7,0,,妙高高原←直江津,37.7
近畿日本鉄道,長野線,長野,湯田中,33.2,1.6,31.6,post_add,長野←善光寺下,1.6
しなの鉄道,しなの鉄道線,軽井沢,篠ノ井,65.1,65.1,0,,軽井沢→小諸,22
しなの鉄道,しなの鉄道線,,,,0,0,,小諸→篠ノ井,43.1
しなの鉄道,北しなの線,長野,妙高高原,37.3,37.3,0,,長野→妙高高原,37.3
上田電鉄,別所線,上田,別所温泉,11.6,0,11.6,post_add,未乗,
アルピコ交通,上高地線,松本,新島々,14.4,0,14.4,post_add,未乗,
万葉線,新湊港線,越ノ潟,六渡寺,4.9,0,4.9,post_add,未乗,
万葉線,高岡軌道線,高岡駅,六渡寺,8,0,8,post_add,未乗,
京成電鉄,本線,電鉄富山,宇奈月温泉,53.3,53.3,0,,電鉄富山→宇奈月温泉,53.3
富山地方鉄道,立山線,寺田,立山,24.2,24.2,0,,寺田→立山,24.2
富山地方鉄道,不二越線,稲荷町,南富山,3.3,0,3.3,post_add,未乗,
富山地方鉄道,上滝線,南富山,岩峅寺,12.4,0,12.4,post_add,未乗,
富山地方鉄道,軌道線本線,電鉄富山駅・エスタ前,南富山駅前,3.6,0,3.6,post_add,未乗,
富山地方鉄道,軌道線支線,電鉄富山駅・エスタ前,丸の内,1,0,1,post_add,未乗,
富山地方鉄道,軌道線安野屋線,丸の内,安野屋,0.6,0,0.6,post_add,未乗,
富山地方鉄道,軌道線呉羽線,安野屋,富山大学前,1.2,0,1.2,post_add,未乗,
富山地方鉄道,軌道線富山都心線,丸の内,西町,0.9,0,0.9,post_add,未乗,
富山地方鉄道,軌道線富山駅南北接続線,支線接続点,富山駅,0.2,0,0.2,post_add,未乗,
富山地方鉄道,富山港線,富山駅,岩瀬浜,7.7,0,7.7,post_add,未乗,
京成電鉄,本線,宇奈月,欅平,20.1,0,20.1,post_add,未乗,
あいの風とやま鉄道,あいの風とやま鉄道線,倶利伽羅,市振,100.1,100.1,0,,倶利伽羅←市振,100.1
のと鉄道,七尾線,七尾,穴水,33.1,0,33.1,post_add,未乗,
北陸鉄道,浅野川線,北鉄金沢,内灘,6.8,0,6.8,post_add,未乗,
北陸鉄道,石川線,野町,鶴来,13.8,0,13.8,post_add,未乗,
IRいしかわ鉄道,IRいしかわ鉄道線,大聖寺,倶利伽羅,64.2,64.2,0,,大聖寺←倶利伽羅,64.2
関東鉄道,常総線,取手,下館,51.1,0,51.1,post_add,未乗,
関東鉄道,竜ヶ崎線,佐貫,竜ヶ崎,4.5,0,4.5,post_add,未乗,
鹿島臨海鉄道,大洗鹿島線,水戸,鹿島サッカースタジアム,53,53,0,,水戸→鹿島サッカースタジアム,53
ひたちなか海浜鉄道,湊線,勝田,阿字ヶ浦,14.3,0,14.3,post_add,未乗,
真岡鐵道,真岡線,下館,茂木,41.9,0,41.9,post_add,未乗,
野岩鉄道,会津鬼怒川線,新藤原,会津高原尾瀬口,30.7,30.7,0,,新藤原←会津高原尾瀬口,30.7
宇都宮ライトレール,宇都宮芳賀ライトレール線,宇都宮駅東口,芳賀・高根沢工業団地,14.5,0,14.5,post_add,未乗,
上毛電気鉄道,上毛線,中央前橋,西桐生,25.4,0,25.4,post_add,未乗,
上信電鉄,上信線,高崎,下仁田,33.7,0,33.7,post_add,未乗,
わたらせ渓谷鐵道,わたらせ渓谷線,桐生,間藤,44.1,0,44.1,post_add,未乗,
秩父鉄道,秩父本線,羽生,三峰口,71.7,0,71.7,post_add,未乗,
埼玉高速鉄道,埼玉高速鉄道線,赤羽岩淵,浦和美園,14.6,0,14.6,post_add,未乗,
銚子電気鉄道,銚子電気鉄道線,銚子,外川,6.4,0,6.4,post_add,未乗,
小湊鉄道,小湊鉄道線,五井,上総中野,39.1,0,39.1,post_add,未乗,
